Bases loaded: CBASE=e660, FBASE=ee60, BBASE=fc60, DPBASE=fd04
Port write 0d (read block), value (00) PC=fcf6, AF=0044, BC=ff46, DE=0000 SP=eeed HL=000a
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=0080, DE=0000 SP=eeef HL=000a
Port write 0a (set track), value (00) PC=fcea, AF=0040, BC=0000, DE=0000 SP=eeeb HL=0000
Port write 10 (sector translate), value (00) PC=fd02, AF=0044, BC=000b, DE=0000 SP=eeed HL=0000
Port write 0b (set sector), value (00) PC=fcee, AF=0044, BC=000b, DE=0000 SP=eeef HL=000b
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=ff46, DE=0000 SP=eeef HL=000b
Port write 0d (read block), value (00) PC=fcf6, AF=0044, BC=ff46, DE=0000 SP=eeed HL=000b
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=0080, DE=0000 SP=eeef HL=000b
Port write 0a (set track), value (00) PC=fcea, AF=0040, BC=0000, DE=0000 SP=eeeb HL=0000
Port write 10 (sector translate), value (00) PC=fd02, AF=0044, BC=000c, DE=0000 SP=eeed HL=0000
Port write 0b (set sector), value (00) PC=fcee, AF=0044, BC=000c, DE=0000 SP=eeef HL=000c
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=ff46, DE=0000 SP=eeef HL=000c
Port write 0d (read block), value (00) PC=fcf6, AF=0044, BC=ff46, DE=0000 SP=eeed HL=000c
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=0080, DE=0000 SP=eeef HL=000c
Port write 0a (set track), value (00) PC=fcea, AF=0040, BC=0000, DE=0000 SP=eeeb HL=0000
Port write 10 (sector translate), value (00) PC=fd02, AF=0044, BC=000d, DE=0000 SP=eeed HL=0000
Port write 0b (set sector), value (00) PC=fcee, AF=0044, BC=000d, DE=0000 SP=eeef HL=000d
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=ff46, DE=0000 SP=eeef HL=000d
Port write 0d (read block), value (00) PC=fcf6, AF=0044, BC=ff46, DE=0000 SP=eeed HL=000d
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=0080, DE=0000 SP=eeef HL=000d
Port write 0a (set track), value (00) PC=fcea, AF=0040, BC=0000, DE=0000 SP=eeeb HL=0000
Port write 10 (sector translate), value (00) PC=fd02, AF=0044, BC=000e, DE=0000 SP=eeed HL=0000
Port write 0b (set sector), value (00) PC=fcee, AF=0044, BC=000e, DE=0000 SP=eeef HL=000e
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=ff46, DE=0000 SP=eeef HL=000e
Port write 0d (read block), value (00) PC=fcf6, AF=0044, BC=ff46, DE=0000 SP=eeed HL=000e
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=0080, DE=0000 SP=eeef HL=000e
Port write 0a (set track), value (00) PC=fcea, AF=0040, BC=0000, DE=0000 SP=eeeb HL=0000
Port write 10 (sector translate), value (00) PC=fd02, AF=0044, BC=000f, DE=0000 SP=eeed HL=0000
Port write 0b (set sector), value (00) PC=fcee, AF=0044, BC=000f, DE=0000 SP=eeef HL=000f
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=ff46, DE=0000 SP=eeef HL=000f
Port write 0d (read block), value (00) PC=fcf6, AF=0044, BC=ff46, DE=0000 SP=eeed HL=000f
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=0080, DE=0000 SP=eeef HL=000f
Port write 0a (set track), value (00) PC=fcea, AF=0040, BC=0000, DE=0000 SP=eeeb HL=0000
Port write 10 (sector translate), value (00) PC=fd02, AF=0044, BC=0010, DE=0000 SP=eeed HL=0000
Port write 0b (set sector), value (00) PC=fcee, AF=0044, BC=0010, DE=0000 SP=eeef HL=0010
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=ff46, DE=0000 SP=eeef HL=0010
Port write 0d (read block), value (00) PC=fcf6, AF=0044, BC=ff46, DE=0000 SP=eeed HL=0010
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=0080, DE=0000 SP=eeef HL=0010
Port write 0a (set track), value (00) PC=fcea, AF=0040, BC=0000, DE=0000 SP=eeeb HL=0000
Port write 10 (sector translate), value (00) PC=fd02, AF=0044, BC=0011, DE=0000 SP=eeed HL=0000
Port write 0b (set sector), value (00) PC=fcee, AF=0044, BC=0011, DE=0000 SP=eeef HL=0011
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=ff46, DE=0000 SP=eeef HL=0011
Port write 0d (read block), value (00) PC=fcf6, AF=0044, BC=ff46, DE=0000 SP=eeed HL=0011
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=0080, DE=0000 SP=eeef HL=0011
Port write 0a (set track), value (00) PC=fcea, AF=0040, BC=0000, DE=0000 SP=eeeb HL=0000
Port write 10 (sector translate), value (00) PC=fd02, AF=0044, BC=0012, DE=0000 SP=eeed HL=0000
Port write 0b (set sector), value (00) PC=fcee, AF=0044, BC=0012, DE=0000 SP=eeef HL=0012
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=ff46, DE=0000 SP=eeef HL=0012
Port write 0d (read block), value (00) PC=fcf6, AF=0044, BC=ff46, DE=0000 SP=eeed HL=0012
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=0080, DE=0000 SP=eeef HL=0012
Port write 0a (set track), value (00) PC=fcea, AF=0040, BC=0000, DE=0000 SP=eeeb HL=0000
Port write 10 (sector translate), value (00) PC=fd02, AF=0044, BC=0013, DE=0000 SP=eeed HL=0000
Port write 0b (set sector), value (00) PC=fcee, AF=0044, BC=0013, DE=0000 SP=eeef HL=0013
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=ff46, DE=0000 SP=eeef HL=0013
Port write 0d (read block), value (00) PC=fcf6, AF=0044, BC=ff46, DE=0000 SP=eeed HL=0013
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=0080, DE=0000 SP=eeef HL=0013
Port write 0a (set track), value (00) PC=fcea, AF=0040, BC=0000, DE=0000 SP=eeeb HL=0000
Port write 10 (sector translate), value (00) PC=fd02, AF=0044, BC=0014, DE=0000 SP=eeed HL=0000
Port write 0b (set sector), value (00) PC=fcee, AF=0044, BC=0014, DE=0000 SP=eeef HL=0014
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=ff46, DE=0000 SP=eeef HL=0014
Port write 0d (read block), value (00) PC=fcf6, AF=0044, BC=ff46, DE=0000 SP=eeed HL=0014
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=0080, DE=0000 SP=eeef HL=0014
Port write 0a (set track), value (00) PC=fcea, AF=0040, BC=0000, DE=0000 SP=eeeb HL=0000
Port write 10 (sector translate), value (00) PC=fd02, AF=0044, BC=0015, DE=0000 SP=eeed HL=0000
Port write 0b (set sector), value (00) PC=fcee, AF=0044, BC=0015, DE=0000 SP=eeef HL=0015
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=ff46, DE=0000 SP=eeef HL=0015
Port write 0d (read block), value (00) PC=fcf6, AF=0044, BC=ff46, DE=0000 SP=eeed HL=0015
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=0080, DE=0000 SP=eeef HL=0015
Port write 0a (set track), value (00) PC=fcea, AF=0040, BC=0000, DE=0000 SP=eeeb HL=0000
Port write 10 (sector translate), value (00) PC=fd02, AF=0044, BC=0016, DE=0000 SP=eeed HL=0000
Port write 0b (set sector), value (00) PC=fcee, AF=0044, BC=0016, DE=0000 SP=eeef HL=0016
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=ff46, DE=0000 SP=eeef HL=0016
Port write 0d (read block), value (00) PC=fcf6, AF=0044, BC=ff46, DE=0000 SP=eeed HL=0016
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=0080, DE=0000 SP=eeef HL=0016
Port write 0a (set track), value (00) PC=fcea, AF=0040, BC=0000, DE=0000 SP=eeeb HL=0000
Port write 10 (sector translate), value (00) PC=fd02, AF=0044, BC=0017, DE=0000 SP=eeed HL=0000
Port write 0b (set sector), value (00) PC=fcee, AF=0044, BC=0017, DE=0000 SP=eeef HL=0017
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=ff46, DE=0000 SP=eeef HL=0017
Port write 0d (read block), value (00) PC=fcf6, AF=0044, BC=ff46, DE=0000 SP=eeed HL=0017
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=0080, DE=0000 SP=eeef HL=0017
Port write 0a (set track), value (00) PC=fcea, AF=0040, BC=0000, DE=0000 SP=eeeb HL=0000
Port write 10 (sector translate), value (00) PC=fd02, AF=0044, BC=0018, DE=0000 SP=eeed HL=0000
Port write 0b (set sector), value (00) PC=fcee, AF=0044, BC=0018, DE=0000 SP=eeef HL=0018
